id,name,scientific,order,family,genus,species,image,paragraph
myid,Acanthaceae,none,Lamiales,none,none,none,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Odontonema_flwrs.jpg/220px-Odontonema_flwrs.jpg,"<p><a class=""new"" href=""/w/index.php?title=Acanthoideae&amp;action=edit&amp;redlink=1"" title=""Acanthoideae (page does not exist)"">Acanthoideae</a><br>
<a href=""/wiki/Avicennia"" title=""Avicennia"">Avicennioideae</a><br>
<a class=""new"" href=""/w/index.php?title=Nelsonioideae&amp;action=edit&amp;redlink=1"" title=""Nelsonioideae (page does not exist)"">Nelsonioideae</a><br>
<a class=""new"" href=""/w/index.php?title=Thunbergioideae&amp;action=edit&amp;redlink=1"" title=""Thunbergioideae (page does not exist)"">Thunbergioideae</a><sup class=""reference"" id=""cite_ref-GRIN_1-1""><a href=""#cite_note-GRIN-1"">[1]</a></sup>
</br></br></br></p>"
myid,Acantholimon,none,Caryophyllales,Plumbaginaceae,Acantholimon,none,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Acantholimon_glumaceum.jpg/220px-Acantholimon_glumaceum.jpg,"<p>See text.
</p>"
myid,Acanthopale,none,Lamiales,Acanthaceae,Acanthopale,none,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Odontonema_flwrs.jpg/40px-Odontonema_flwrs.jpg,"<p><i><b>Acanthopale</b></i> is a <a href=""/wiki/Plant"" title=""Plant"">plant</a> genus in the <a href=""/wiki/Acanthaceae"" title=""Acanthaceae"">Acanthaceae</a> plant family. The <a href=""/wiki/Genus"" title=""Genus"">genus</a> name is based on the classic Greek words for thorn <i>ákantha</i> and stake <i>palum</i>. Some species in the genus are cultivated as <a href=""/wiki/Ornamental_plant"" title=""Ornamental plant"">ornamental plants</a>.
</p>"
myid,Acanthophoenix,none,Arecales,Arecaceae,Acanthophoenix,none,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Acanthophoenix_rubra_01.jpg/220px-Acanthophoenix_rubra_01.jpg,"<p><i><b>Acanthophoenix</b></i> is a genus of <a href=""/wiki/Flowering_plant"" title=""Flowering plant"">flowering plants</a> in the <a href=""/wiki/Arecaceae"" title=""Arecaceae"">palm family</a> from the <a href=""/wiki/Mascarene_Islands"" title=""Mascarene Islands"">Mascarene Islands</a> in the <a href=""/wiki/Indian_Ocean"" title=""Indian Ocean"">Indian Ocean</a>, where they are commonly called <b>palmiste rouge</b>.  A genus long in flux, three <a href=""/wiki/Species"" title=""Species"">species</a> are currently recognized, though unsustainable levels of harvesting for their edible <a href=""/wiki/Heart_of_palm"" title=""Heart of palm"">palm hearts</a> have brought them all to near extinction in habitat.  They are closely related to the <i><a href=""/wiki/Tectiphiala"" title=""Tectiphiala"">Tectiphiala</a></i> and <i><a class=""mw-redirect"" href=""/wiki/Deckenia_(plant)"" title=""Deckenia (plant)"">Deckenia</a></i> genera, differing in the shape of the staminate <a href=""/wiki/Flower"" title=""Flower"">flower</a>.<sup class=""reference"" id=""cite_ref-uhl_2-0""><a href=""#cite_note-uhl-2"">[2]</a></sup>  The name combines the <a href=""/wiki/Greek_language"" title=""Greek language"">Greek</a> words for ""thorn"" and ""<a href=""/wiki/Phoenix_(plant)"" title=""Phoenix (plant)"">date palm</a>"".<sup class=""reference"" id=""cite_ref-riffle_3-0""><a href=""#cite_note-riffle-3"">[3]</a></sup>
</p>"
myid,Feijoa,none,none,none,none,none,https://upload.wikimedia.org/wikipedia/en/thumb/6/6c/Wiki_letter_w.svg/40px-Wiki_letter_w.svg.png,"<p><b>Feijóo</b>  or <b>Feijão</b> is a <a href=""/wiki/Spanish_language"" title=""Spanish language"">Spanish</a> <a href=""/wiki/Galician_language"" title=""Galician language"">Galician</a> and <a href=""/wiki/Portuguese_language"" title=""Portuguese language"">Portuguese</a> <a href=""/wiki/Surname"" title=""Surname"">surname</a>. It is also considered a <a class=""mw-redirect"" href=""/wiki/Sephardic"" title=""Sephardic"">Sephardic</a> <a class=""mw-redirect"" href=""/wiki/Jewish"" title=""Jewish"">Jewish</a> Surname.<sup class=""reference"" id=""cite_ref-1""><a href=""#cite_note-1"">[1]</a></sup>
</p>"
myid,Maple,none,Sapindales,Sapindaceae,Acer,none,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Acer_pseudoplatanus_002.jpg/220px-Acer_pseudoplatanus_002.jpg,"<p>See either <br><a href=""/wiki/List_of_Acer_species"" title=""List of Acer species"">species grouped by sections</a><br><a href=""/wiki/List_of_Acer_species_alphabetical"" title=""List of Acer species alphabetical"">alphabetical list of species</a>
</br></br></p>"
myid,Achariaceae,none,Malpighiales,none,none,none,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Pangium_edule_Blanco2.391.jpg/220px-Pangium_edule_Blanco2.391.jpg,"<p><b>Achariaceae</b> is a <a href=""/wiki/Family_(biology)"" title=""Family (biology)"">family</a> of <a href=""/wiki/Flowering_plant"" title=""Flowering plant"">flowering plants</a>, formerly consisting of 32 genera with 155 <a href=""/wiki/Species"" title=""Species"">species</a><sup class=""reference"" id=""cite_ref-Christenhusz-Byng2016_2-0""><a href=""#cite_note-Christenhusz-Byng2016-2"">[2]</a></sup> of tropical <a href=""/wiki/Herb"" title=""Herb"">herbs</a>, <a href=""/wiki/Shrub"" title=""Shrub"">shrubs</a> and trees. The <a href=""/wiki/APG_II_system"" title=""APG II system"">APG II system</a> has greatly expanded the scope of the family by including many genera previously classified in <a href=""/wiki/Flacourtiaceae"" title=""Flacourtiaceae"">Flacourtiaceae</a>. Molecular data strongly support the inclusion of this family in the order <a href=""/wiki/Malpighiales"" title=""Malpighiales"">Malpighiales</a>. <a href=""/wiki/Embryology"" title=""Embryology"">Embryological</a> development shows similarities with <a href=""/wiki/Cucurbitales"" title=""Cucurbitales"">Cucurbitales</a> and <a href=""/wiki/Brassicales"" title=""Brassicales"">Brassicales</a>.
</p>"
myid,Achillea,none,Asterales,Asteraceae,Achillea,none,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Achillea_millefolium.jpg/220px-Achillea_millefolium.jpg,"<p><i>Millefolium</i> <small>Mill.</small>
</p>"
myid,Achimenes,none,Lamiales,Gesneriaceae,Achimenes,none,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Achimenes_erecta.jpg/220px-Achimenes_erecta.jpg,"<p>See text.
</p>"
myid,Acinos,none,Lamiales,Lamiaceae,Acinos,none,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Acinos_arvensis01.jpg/220px-Acinos_arvensis01.jpg,"<p><i><b>Acinos</b></i> is a <a href=""/wiki/Genus"" title=""Genus"">genus</a> of ten species of <a href=""/wiki/Annual_plant"" title=""Annual plant"">annual</a> and short-lived <a href=""/wiki/Evergreen"" title=""Evergreen"">evergreen</a> <a href=""/wiki/Perennial_plant"" title=""Perennial plant"">perennial</a> <a href=""/wiki/Woody_plant"" title=""Woody plant"">woody</a> <a class=""mw-redirect"" href=""/wiki/Plants"" title=""Plants"">plants</a> native to southern <a href=""/wiki/Europe"" title=""Europe"">Europe</a> and western <a href=""/wiki/Asia"" title=""Asia"">Asia</a>. Its name comes from the Greek word <i>akinos</i>, the name of a small aromatic plant. They are small, tufted, bushy or spreading plants growing to 10-45 cm tall. The 2-lipped, tubular flowers are in whorls borne on erect spike-like inflorescence produced in mid-summer.
</p>"
myid,Aciphylla,none,Apiales,Apiaceae,Aciphylla,none,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Aciphylla_glacialis_1028.jpg/220px-Aciphylla_glacialis_1028.jpg,"<p><i>Coxella</i> <small><a href=""/wiki/Cheeseman"" title=""Cheeseman"">Cheeseman</a> &amp; <a class=""mw-redirect"" href=""/wiki/Hemsl."" title=""Hemsl."">Hemsl.</a></small>
</p>"
myid,Acmena,none,Myrtales,Myrtaceae,Acmena,none,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Acmena_hemilampra_-_leaves.JPG/220px-Acmena_hemilampra_-_leaves.JPG,"<p>See text
</p>"
myid,Acoelorraphe,Acoelorrhaphe wrightii,Arecales,Arecaceae,Acoelorrhaphe,<b>A. wrightii</b>,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Paurotispalmfruit.JPG/220px-Paurotispalmfruit.JPG,"<p><i><b>Acoelorrhaphe</b></i> is a genus of <a href=""/wiki/Arecaceae"" title=""Arecaceae"">palms</a>, comprising the single species <i><b>Acoelorrhaphe wrightii</b></i> (<b>Paurotis palm</b>, also known as the <b>Everglades palm</b> and <b>Madeira palm</b>).<sup class=""reference"" id=""cite_ref-kew_2-1""><a href=""#cite_note-kew-2"">[2]</a></sup><sup class=""reference"" id=""cite_ref-grin_3-0""><a href=""#cite_note-grin-3"">[3]</a></sup><sup class=""reference"" id=""cite_ref-ipni_4-0""><a href=""#cite_note-ipni-4"">[4]</a></sup><sup class=""reference"" id=""cite_ref-5""><a href=""#cite_note-5"">[5]</a></sup>
</p>"
myid,Acokanthera,none,Gentianales,Apocynaceae,Acokanthera,none,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Acokanthera_oblongifolia_-_poison_arrow_plant_-_from-DC1.jpg/220px-Acokanthera_oblongifolia_-_poison_arrow_plant_-_from-DC1.jpg,"<p><i><b>Acokanthera</b></i> is a <a href=""/wiki/Genus"" title=""Genus"">genus</a> of <a class=""mw-redirect"" href=""/wiki/Angiosperms"" title=""Angiosperms"">flowering plants</a> in the <a href=""/wiki/Family_(biology)"" title=""Family (biology)"">family</a> <a href=""/wiki/Apocynaceae"" title=""Apocynaceae"">Apocynaceae</a>. It comprises 5 species and is generally restricted to <a href=""/wiki/Africa"" title=""Africa"">Africa</a>, although <i><a href=""/wiki/Acokanthera_schimperi"" title=""Acokanthera schimperi"">Acokanthera schimperi</a></i> also occurs in <a href=""/wiki/Yemen"" title=""Yemen"">Yemen</a>.<sup class=""reference"" id=""cite_ref-harriet_1-1""><a href=""#cite_note-harriet-1"">[1]</a></sup> Its sap contains the deadly <a class=""mw-redirect"" href=""/wiki/Cardiotoxic"" title=""Cardiotoxic"">cardiotoxic</a> <a class=""mw-redirect"" href=""/wiki/Glycosides"" title=""Glycosides"">glycoside</a> <i><a href=""/wiki/Ouabain"" title=""Ouabain"">ouabain</a></i>. The sap is among the most commonly used in arrow poisons,<sup class=""reference"" id=""cite_ref-2""><a href=""#cite_note-2"">[2]</a></sup><sup class=""reference"" id=""cite_ref-3""><a href=""#cite_note-3"">[3]</a></sup> including those used for poaching <a href=""/wiki/African_elephant"" title=""African elephant"">elephant</a>.<sup class=""reference"" id=""cite_ref-4""><a href=""#cite_note-4"">[4]</a></sup>
</p>"
myid,Aconitum,none,Ranunculales,Ranunculaceae,Aconitum,none,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Aconitum_variegatum_110807f.jpg/220px-Aconitum_variegatum_110807f.jpg,"<p><i><a href=""#Species"">for species see below</a></i>
</p>"
myid,Acorus,none,none,none,none,none,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Acorus_calamus.spadix.jpg/220px-Acorus_calamus.spadix.jpg,"<p>
</p>"
myid,Acradenia,none,Sapindales,Rutaceae,Acradenia,none,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Acradenia_euodiiformis_-_Nov_99_Coorabakh_National_Park.jpg/220px-Acradenia_euodiiformis_-_Nov_99_Coorabakh_National_Park.jpg,"<p>See text
</p>"
myid,Acrocomia,none,Arecales,Arecaceae,Acrocomia,none,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Acrocomia_totai.jpeg/220px-Acrocomia_totai.jpeg,"<p><i><b>Acrocomia</b></i> is a genus of <a href=""/wiki/Arecaceae"" title=""Arecaceae"">palms</a> which is native to the <a class=""mw-redirect"" href=""/wiki/Neotropics"" title=""Neotropics"">Neotropics</a>, ranging from <a href=""/wiki/Mexico"" title=""Mexico"">Mexico</a> in the north, through <a href=""/wiki/Central_America"" title=""Central America"">Central America</a> and the <a href=""/wiki/Caribbean"" title=""Caribbean"">Caribbean</a>, and through <a href=""/wiki/South_America"" title=""South America"">South America</a> south to <a href=""/wiki/Argentina"" title=""Argentina"">Argentina</a>.<sup class=""reference"" id=""cite_ref-iohyosdahfo08yhawheifo_1-1""><a href=""#cite_note-iohyosdahfo08yhawheifo-1"">[1]</a></sup><sup class=""reference"" id=""cite_ref-2""><a href=""#cite_note-2"">[2]</a></sup>
</p>"
myid,Actinidia,none,none,none,none,none,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Actinidia-kolomikta.JPG/220px-Actinidia-kolomikta.JPG,"<p><i><b>Actinidia</b></i> <span class=""nowrap""><span class=""IPA nopopups""><a href=""/wiki/Help:IPA_for_English"" title=""Help:IPA for English"">/<span style=""border-bottom:1px dotted""><span title=""/ˌ/ secondary stress follows"">ˌ</span><span title=""/æ/ short 'a' in 'bad'"">æ</span><span title=""'k' in 'kind'"">k</span><span title=""'t' in 'tie'"">t</span><span title=""/ɪ/ or /ə/ 'e' in 'roses'"">ᵻ</span><span title=""/ˈ/ primary stress follows"">ˈ</span><span title=""'n' in 'no'"">n</span><span title=""/ɪ/ short 'i' in 'bid'"">ɪ</span><span title=""'d' in 'dye'"">d</span><span title=""/i/ 'y' in 'happy'"">i</span><span title=""/ə/ 'a' in 'about'"">ə</span></span>/</a></span></span><sup class=""reference"" id=""cite_ref-2""><a href=""#cite_note-2"">[2]</a></sup> is a genus of <a href=""/wiki/Woody_plant"" title=""Woody plant"">woody</a> and, with a few exceptions, <a class=""mw-redirect"" href=""/wiki/Dioecious"" title=""Dioecious"">dioecious</a> plants native to temperate eastern <a href=""/wiki/Asia"" title=""Asia"">Asia</a>, occurring throughout most of <a href=""/wiki/China"" title=""China"">China</a>, <a href=""/wiki/Taiwan"" title=""Taiwan"">Taiwan</a>, <a href=""/wiki/Korea"" title=""Korea"">Korea</a>, and <a href=""/wiki/Japan"" title=""Japan"">Japan</a>, and extending north to southeast <a href=""/wiki/Siberia"" title=""Siberia"">Siberia</a> and south into <a href=""/wiki/Indochina"" title=""Indochina"">Indochina</a>. The genus includes <a href=""/wiki/Shrub"" title=""Shrub"">shrubs</a> growing to 6 m (20 ft) tall, and vigorous, strong-growing <a href=""/wiki/Vine"" title=""Vine"">vines</a>, growing up to 30 m (98 ft) in tree canopies. They mostly tolerate temperatures down to around −15°C (5°F), and some are much hardier.
</p>"
myid,Adansonia,none,Malvales,Malvaceae,Adansonia,none,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Baobab_Adansonia_digitata.jpg/220px-Baobab_Adansonia_digitata.jpg,"<p>See <a href=""#Species"">Species section</a>
</p>"
myid,Adenandra,none,Sapindales,Rutaceae,Adenandra,none,https://upload.wikimedia.org/wikipedia/en/thumb/9/99/Question_book-new.svg/50px-Question_book-new.svg.png,"<p>See text.
</p>"
myid,Adenanthos,none,none,none,none,none,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Adenanthos_cuneatus_flower.jpg/220px-Adenanthos_cuneatus_flower.jpg,"<p><i><b>Adenanthos</b></i> is a <a href=""/wiki/Genus"" title=""Genus"">genus</a> of <a href=""/wiki/Australia"" title=""Australia"">Australian</a> native <a href=""/wiki/Shrub"" title=""Shrub"">shrubs</a> in the <a href=""/wiki/Flowering_plant"" title=""Flowering plant"">flowering plant</a> family <a href=""/wiki/Proteaceae"" title=""Proteaceae"">Proteaceae</a>. Variable in habit and leaf shape, it is the only genus in the family where solitary flowers are the norm. It was discovered in 1791, and formally published by <a href=""/wiki/Jacques_Labillardi%C3%A8re"" title=""Jacques Labillardière"">Jacques Labillardière</a> in 1805. The <a href=""/wiki/Type_species"" title=""Type species"">type species</a> is <i><a href=""/wiki/Adenanthos_cuneatus"" title=""Adenanthos cuneatus"">Adenanthos cuneatus</a></i>, and 33 species are recognised. The genus is placed in subfamily <a href=""/wiki/Proteoideae"" title=""Proteoideae"">Proteoideae</a>, and is held to be most closely related to several <a href=""/wiki/South_Africa"" title=""South Africa"">South African</a> genera.
</p>"
myid,Adenia,none,Malpighiales,Passifloraceae,Adenia,none,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Adenia_pechuelii-01.jpg/220px-Adenia_pechuelii-01.jpg,"<p>about 100, see text
</p>"
myid,Adenium,none,Gentianales,Apocynaceae,Adenium,none,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Adenium_.jpg/220px-Adenium_.jpg,"<p><i><b>Adenium</b></i> is a <a href=""/wiki/Genus"" title=""Genus"">genus</a> of <a href=""/wiki/Flowering_plant"" title=""Flowering plant"">flowering plants</a> in the <a href=""/wiki/Apocynum"" title=""Apocynum"">Apocynum</a> family, <a href=""/wiki/Apocynaceae"" title=""Apocynaceae"">Apocynaceae</a>, first described as a genus in 1819. It is native to <a href=""/wiki/Africa"" title=""Africa"">Africa</a> and to the <a href=""/wiki/Arabian_Peninsula"" title=""Arabian Peninsula"">Arabian Peninsula</a>.<sup class=""reference"" id=""cite_ref-i_3-0""><a href=""#cite_note-i-3"">[3]</a></sup>
</p>"
myid,Adenocarpus,none,Fabales,Fabaceae,Adenocarpus,none,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Adenocarpus_viscosus.jpg/220px-Adenocarpus_viscosus.jpg,"<p>16–29; see text.
</p>"
myid,Adenophora,none,Asterales,Campanulaceae,Adenophora,none,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Adenophora_bulleyana_-_2.JPG/220px-Adenophora_bulleyana_-_2.JPG,"<p><i>Floerkea</i> <small>Spreng. 1818, illegitimate homonym, not Willd. 1801 nor Raf. 1808</small>
</p>"
myid,Adenostoma,none,Rosales,Rosaceae,Adenostoma,none,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Adenostoma_fasciculatum.jpg/220px-Adenostoma_fasciculatum.jpg,"<p><i><b>Adenostoma</b></i> is a genus of shrubs containing only two species:
</p>"
myid,Adiantum,none,Polypodiales,Pteridaceae,Adiantum,none,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Adiantum_pedatum_09905.JPG/240px-Adiantum_pedatum_09905.JPG,"<p>See text
</p>"
myid,Adlumia,none,Ranunculales,Papaveraceae,Adlumia,none,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Adlumia_fungosa_drawing.png/220px-Adlumia_fungosa_drawing.png,"<p><i><b>Adlumia</b></i> is a genus of two species in the <a href=""/wiki/Papaveraceae"" title=""Papaveraceae"">Papaveraceae</a> family. One species, <i><a href=""/wiki/Adlumia_fungosa"" title=""Adlumia fungosa"">A. fungosa</a></i>, is commonly known as the Allegheny vine, climbing fumitory, or mountain fringe. It is found in the eastern US, north of VA and TN, as far west as IA and MN, as well as in eastern Canada. The other species, <i><a class=""new"" href=""/w/index.php?title=Adlumia_asiatica&amp;action=edit&amp;redlink=1"" title=""Adlumia asiatica (page does not exist)"">A. asiatica</a></i>, is native to Korea and immediately neighbouring parts of China and southeast Russia.
</p>"
myid,Adromischus,none,Saxifragales,Crassulaceae,Adromischus,none,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Adromischus_mammilaris.jpg/220px-Adromischus_mammilaris.jpg,"<p><i><b>Adromischus</b></i> is a genus of easily propagated leaf <a class=""mw-redirect"" href=""/wiki/Succulents"" title=""Succulents"">succulents</a> from the <a href=""/wiki/Crassulaceae"" title=""Crassulaceae"">Crassulaceae</a> family.
<i>Adromischus</i> are endemic to southern <a href=""/wiki/Africa"" title=""Africa"">Africa</a>.
The name comes from the ancient Greek ""adros"" (=thick) and ""mischos"" (=stem).
</p>"
myid,Aechmea,none,Poales,Bromeliaceae,Aechmea,none,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Aechmea_fasciata_inflorescence.jpg/220px-Aechmea_fasciata_inflorescence.jpg,"<p>Over 250, see text.
</p>"
myid,Aegopodium,none,Apiales,Apiaceae,Aegopodium,none,https://upload.wikimedia.org/wikipedia/en/thumb/2/23/Ground-elder.jpg/220px-Ground-elder.jpg,"<p><i><b>Aegopodium</b></i> is a plant genus of the carrot family <a href=""/wiki/Apiaceae"" title=""Apiaceae"">Apiaceae</a> native to Europe and western Asia. It is represented by about seven species, all are perennial herbs. Flowers are compounded, umbels appearing in spring-summer and are visited by many types of insect <a href=""/wiki/Pollination"" title=""Pollination"">pollinators</a>.<sup class=""reference"" id=""cite_ref-1""><a href=""#cite_note-1"">[1]</a></sup> Fruit consists of two-winged or ribbed nuts that separate on ripening.
</p>"
myid,Aeonium,none,Saxifragales,Crassulaceae,Aeonium,none,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Aeonium_undulatum.JPG/220px-Aeonium_undulatum.JPG,"<p>About 35, see text
</p>"
myid,Aerangis,none,Asparagales,Orchidaceae,Aerangis,none,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Aerangis_fastuosa_001.jpg/220px-Aerangis_fastuosa_001.jpg,"<p><i><b>Aerangis</b></i>, abbreviated as <b>Aergs</b> in horticultural trade, is a <a href=""/wiki/Genus"" title=""Genus"">genus</a> of the <a class=""mw-redirect"" href=""/wiki/Orchid"" title=""Orchid"">Orchid</a> family (<i><a href=""/wiki/Orchidaceae"" title=""Orchidaceae"">Orchidaceae</a></i>). The name of this genus has been derived from the Greek words 'aer' (air) and 'angos' (urn), referring to the form of the lip. It is the <a href=""/wiki/Type_genus"" title=""Type genus"">type genus</a> of the subtribe <a href=""/wiki/Aerangidinae"" title=""Aerangidinae"">Aerangidinae</a>. Approximately 50 species in this genus are known mostly from tropical <a href=""/wiki/Africa"" title=""Africa"">Africa</a>, but also from the <a class=""mw-redirect"" href=""/wiki/Comoros_Islands"" title=""Comoros Islands"">Comoros Islands</a>, <a href=""/wiki/Madagascar"" title=""Madagascar"">Madagascar</a> and <a href=""/wiki/Sri_Lanka"" title=""Sri Lanka"">Sri Lanka</a>.<sup class=""reference"" id=""cite_ref-asdflkasldkfwtq34itnhoqroagwwqwrewe_2-1""><a href=""#cite_note-asdflkasldkfwtq34itnhoqroagwwqwrewe-2"">[2]</a></sup>
</p>"
